=== MEDICAL CORPUS INDEX ===

Total Documents: 191
Total Volume: 2 MB
Generated: 2026-05-03T21:56:14.615Z

=== DOCUMENTS ===
Subject | Source | Type | Pages | Size(KB) | Lines | Path
pulmonology    | Optimal Use Of Antibiotics - A | audio-transcript   | 1-10     |       22 |    319 | corpus/pulmonology/audio-transcripts/Optimal Use Of Antibiotics - Antibiotic Stewardship - CMED4IIM1 - 2026_pages-001-010.txt
pulmonology    | Optimal Use Of Antibiotics - A | audio-transcript   | 11-15    |       22 |    272 | corpus/pulmonology/audio-transcripts/Optimal Use Of Antibiotics - Antibiotic Stewardship - CMED4IIM1 - 2026_pages-011-015.txt
pulmonology    | Suppurative Lung Syndromes - C | audio-transcript   | 1-8      |       23 |    259 | corpus/pulmonology/audio-transcripts/Suppurative Lung Syndromes - CMED4IIM1 - 2026_pages-001-008.txt
rheumatology   | Connective Tissue Disease - CM | audio-transcript   | 1-10     |       20 |    274 | corpus/rheumatology/audio-transcripts/Connective Tissue Disease - CMED4IIM1 - 2026_pages-001-010.txt
rheumatology   | Connective Tissue Disease - CM | audio-transcript   | 11-14    |       20 |    242 | corpus/rheumatology/audio-transcripts/Connective Tissue Disease - CMED4IIM1 - 2026_pages-011-014.txt
rheumatology   | Gout - CMED4IIM1 - 2026        | audio-transcript   | 1-4      |       12 |    148 | corpus/rheumatology/audio-transcripts/Gout - CMED4IIM1 - 2026_pages-001-004.txt
rheumatology   | Neck Pain  Back Pain - CMED4II | audio-transcript   | 1-9      |       26 |    337 | corpus/rheumatology/audio-transcripts/Neck Pain  Back Pain - CMED4IIM1  - 2026_pages-001-009.txt
rheumatology   | Osteoarthritis - CMED4IIM1 - 2 | audio-transcript   | 1-8      |       24 |    274 | corpus/rheumatology/audio-transcripts/Osteoarthritis - CMED4IIM1 - 2026_pages-001-008.txt
rheumatology   | Rheumatoid Arthritis - CMED4II | audio-transcript   | 1-10     |       27 |    866 | corpus/rheumatology/audio-transcripts/Rheumatoid Arthritis - CMED4IIM1 - 2026_pages-001-010.txt
rheumatology   | Rheumatoid Arthritis - CMED4II | audio-transcript   | 11-18    |       27 |    352 | corpus/rheumatology/audio-transcripts/Rheumatoid Arthritis - CMED4IIM1 - 2026_pages-011-018.txt
rheumatology   | Spondyloarthropathies (SpA) -  | audio-transcript   | 1-7      |       18 |    301 | corpus/rheumatology/audio-transcripts/Spondyloarthropathies (SpA) - CMED4IIM1- 2026_pages-001-007.txt
rheumatology   |                                | book-text          | 1-5      |       11 |    252 | rheumatology\book-texts\pages-001-005.txt
rheumatology   |                                | book-text          | 1-7      |       17 |    396 | rheumatology\book-texts\pages-001-007.txt
rheumatology   |                                | book-text          | 1-9      |       21 |    534 | rheumatology\book-texts\pages-001-009.txt
rheumatology   |                                | book-text          | 1-10     |        2 |     77 | rheumatology\book-texts\pages-001-010.txt
rheumatology   |                                | book-text          | 11-11    |        2 |     47 | rheumatology\book-texts\pages-011-011.txt
rheumatology   |                                | book-text          | 11-13    |        1 |     43 | rheumatology\book-texts\pages-011-013.txt
rheumatology   |                                | book-text          | 11-20    |        2 |     68 | rheumatology\book-texts\pages-011-020.txt
rheumatology   |                                | book-text          | 21-25    |        1 |     58 | rheumatology\book-texts\pages-021-025.txt
